,aracore_ids,aracore_name,aracore_annotations,symbol,chr,start,end,description,ncbigene,gene_name,uniprot_id
112,AT3G60750,AT3G60750,{},TKL-1,3,22453668.0,22457458.0,"Transketolase-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RWV0]",825246.0,"Transketolase-1, chloroplastic ",Q8RWV0
113,AT3G55800,AT3G55800,{},SBPASE,3,20709294.0,20711640.0,"Sedoheptulose-1,7-bisphosphatase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P46283]",824746.0,"Sedoheptulose-1,7-bisphosphatase, chloroplastic ",P46283
114,AT5G61410,AT5G61410,{},RPE,5,24683606.0,24686217.0,RPE [Source:UniProtKB/TrEMBL;Acc:A0A178UPG9],836262.0,RPE ,A0A178UPG9
115,AT3G04790,AT3G04790,{},RPI3,3,1313297.0,1314288.0,EMB3119 [Source:UniProtKB/TrEMBL;Acc:A0A178V804],819639.0,EMB3119 ,A0A178V804
116,AT5G44520,AT5G44520,{},,5.0,17934287.0,17936554.0,NagB/RpiA/CoA transferase-like superfamily protein [Source:TAIR;Acc:AT5G44520],834479.0,NagB/RpiA/CoA transferase-like superfamily protein ,AT5G44520
117,AT1G32060,AT1G32060,{},PRK,1,11532199.0,11534639.0,Phosphoribulokinase [Source:UniProtKB/TrEMBL;Acc:A0A178WLP9],840098.0,Phosphoribulokinase ,A0A178WLP9
118,AT4G24620,AT4G24620,{},PGI1,4,12708646.0,12712825.0,Glucose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178UUU3],828564.0,Glucose-6-phosphate isomerase ,A0A178UUU3
119,AT5G51820,AT5G51820,{},PGMP,5,21063298.0,21068327.0,"Phosphoglucomutase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SCY0]",835257.0,"Phosphoglucomutase, chloroplastic ",Q9SCY0
120,AT1G70730,AT1G70730,{},PGM2,1,26668646.0,26673166.0,Phosphoglucomutase/phosphomannomutase family protein [Source:UniProtKB/TrEMBL;Acc:F4I6W4],843410.0,Phosphoglucomutase/phosphomannomutase family protein ,F4I6W4
121,AT1G23190,AT1G23190,{},PGM3,1,8219808.0,8224547.0,"Probable phosphoglucomutase, cytoplasmic 1 [Source:UniProtKB/Swiss-Prot;Acc:O49299]",838927.0,"Probable phosphoglucomutase, cytoplasmic 1 ",O49299
122,AT4G39210,AT4G39210,{},APL3,4,18259547.0,18263468.0,Glucose-1-phosphate adenylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A178US50],830076.0,Glucose-1-phosphate adenylyltransferase ,A0A178US50
123,AT5G48300,AT5G48300,{},APS1,5,19570238.0,19572804.0,"Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P55228]",834883.0,"Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic ",P55228
124,AT1G27680,AT1G27680,{},APL2,1,9631190.0,9634597.0,"Glucose-1-phosphate adenylyltransferase large subunit 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P55230]",839660.0,"Glucose-1-phosphate adenylyltransferase large subunit 2, chloroplastic ",P55230
125,AT2G21590,AT2G21590,{},APL4,2,9238296.0,9242481.0,"Probable glucose-1-phosphate adenylyltransferase large subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SIK1]",816697.0,"Probable glucose-1-phosphate adenylyltransferase large subunit, chloroplastic ",Q9SIK1
126,AT5G19220,AT5G19220,{},ADG2,5,6463824.0,6466831.0,"Glucose-1-phosphate adenylyltransferase large subunit 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P55229]",832042.0,"Glucose-1-phosphate adenylyltransferase large subunit 1, chloroplastic ",P55229
127,AT1G05610,AT1G05610,{},APS2,1,1673861.0,1676077.0,ADP-glucose pyrophosphorylase small subunit 2 [Source:TAIR;Acc:AT1G05610],837066.0,ADP-glucose pyrophosphorylase small subunit 2 ,AT1G05610
128,AT5G24300,AT5G24300,{},SS1,5,8266566.0,8271205.0,"Starch synthase, chloroplastic/amyloplastic (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QN76]",832497.0,"Starch synthase, chloroplastic/amyloplastic (Fragment) ",W8QN76
129,AT4G18240,AT4G18240,{},SS4,4,10082108.0,10087203.0,"Probable starch synthase 4, chloroplastic/amyloplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0WVX5]",827550.0,"Probable starch synthase 4, chloroplastic/amyloplastic ",Q0WVX5
130,AT1G11720,AT1G11720,{},ATSS3,1,3951366.0,3957044.0,SS3 [Source:UniProtKB/TrEMBL;Acc:A0A178W4M9],837716.0,SS3 ,A0A178W4M9
131,AT3G01180,AT3G01180,{},SS2,3,62245.0,66111.0,"Starch synthase, chloroplastic/amyloplastic (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNS2]",820294.0,"Starch synthase, chloroplastic/amyloplastic (Fragment) ",W8QNS2
132,AT4G00490,AT4G00490,{},BAM2,4,222289.0,225131.0,"Beta-amylase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O65258]",827959.0,"Beta-amylase 2, chloroplastic ",O65258
133,AT2G32290,AT2G32290,{},BAM6,2,13714516.0,13717002.0,Beta-amylase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8L762],817789.0,Beta-amylase 6 ,Q8L762
134,AT4G17090,AT4G17090,{},BAM3,4,9604962.0,9607402.0,"Beta-amylase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O23553]",827419.0,"Beta-amylase 3, chloroplastic ",O23553
135,AT3G23920,AT3G23920,{},BAM1,3,8641181.0,8644449.0,Beta-amylase [Source:UniProtKB/TrEMBL;Acc:A0A178VNG4],821975.0,Beta-amylase ,A0A178VNG4
136,AT5G64860,AT5G64860,{},DPE1,5,25925173.0,25928879.0,"4-alpha-glucanotransferase DPE1, chloroplastic/amyloplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LV91]",836609.0,"4-alpha-glucanotransferase DPE1, chloroplastic/amyloplastic ",Q9LV91
137,AT2G40840,AT2G40840,{},DPE2,2,17044932.0,17051062.0,4-alpha-glucanotransferase DPE2 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXD9],818682.0,4-alpha-glucanotransferase DPE2 ,Q8RXD9
138,AT4G29130,AT4G29130,{},HXK1,4,14352037.0,14355201.0,HXK1 [Source:UniProtKB/TrEMBL;Acc:A0A384KTL6],829034.0,HXK1 ,A0A384KTL6
139,AT2G19860,AT2G19860,{},HXK2,2,8570607.0,8574067.0,Phosphotransferase [Source:UniProtKB/TrEMBL;Acc:A0A178VX81],816505.0,Phosphotransferase ,A0A178VX81
140,AT3G46970,AT3G46970,{},PHS2,3,17301394.0,17306633.0,"Alpha-glucan phosphorylase 2, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9SD76]",823850.0,"Alpha-glucan phosphorylase 2, cytosolic ",Q9SD76
141,AT3G29320,AT3G29320,{},PHS1,3,11252807.0,11257814.0,Alpha-glucan phosphorylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LIB2],822590.0,Alpha-glucan phosphorylase 1 ,Q9LIB2
142,AT2G36460,AT2G36460,{},FBA6,2,15296613.0,15298754.0,"Fructose-bisphosphate aldolase 6, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9SJQ9]",818220.0,"Fructose-bisphosphate aldolase 6, cytosolic ",Q9SJQ9
143,AT4G26520,AT4G26520,{},,4.0,13388290.0,13390862.0,Aldolase superfamily protein [Source:TAIR;Acc:AT4G26520],828758.0,Aldolase superfamily protein ,AT4G26520
144,AT5G03690,AT5G03690,{},FBA4,5,963147.0,965327.0,"Fructose-bisphosphate aldolase 4, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:F4KGQ0]",831759.0,"Fructose-bisphosphate aldolase 4, cytosolic ",F4KGQ0
145,AT1G43670,AT1G43670,{},CYFBP,1,16467298.0,16470500.0,"Fructose-1,6-bisphosphatase, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9MA79]",840953.0,"Fructose-1,6-bisphosphatase, cytosolic ",Q9MA79
146,AT1G07110,AT1G07110,{},FKFBP,1,2178022.0,2184193.0,FKFBP [Source:UniProtKB/TrEMBL;Acc:A0A178W4F2],837221.0,FKFBP ,A0A178W4F2
147,AT5G42740,AT5G42740,{},PGIC,5,17135661.0,17141173.0,Glucose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178UPP5],834283.0,Glucose-6-phosphate isomerase ,A0A178UPP5
148,AT5G52560,AT5G52560,{},USP,5,21330608.0,21334811.0,UDP-sugar pyrophosphorylase [Source:UniProtKB/Swiss-Prot;Acc:Q9C5I1],835333.0,UDP-sugar pyrophosphorylase ,Q9C5I1
149,AT2G35020,AT2G35020,{},GLCNAC1PUT2,2,14756511.0,14760709.0,UDP-N-acetylglucosamine diphosphorylase 2 [Source:UniProtKB/Swiss-Prot;Acc:O64765],818066.0,UDP-N-acetylglucosamine diphosphorylase 2 ,O64765
150,AT5G17310,AT5G17310,{},UGP1,5,5696478.0,5700993.0,UTP--glucose-1-phosphate uridylyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:P57751],831596.0,UTP--glucose-1-phosphate uridylyltransferase 1 ,P57751
151,AT3G56040,AT3G56040,{},UGP3,3,20792477.0,20797670.0,"UTP--glucose-1-phosphate uridylyltransferase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4IY62]",824770.0,"UTP--glucose-1-phosphate uridylyltransferase 3, chloroplastic ",F4IY62
152,AT3G03250,AT3G03250,{},UGP,3,749309.0,754161.0,UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02],821313.0,UTP--glucose-1-phosphate uridylyltransferase ,A0A1I9LT02
153,AT5G11110,AT5G11110,{},SPS2,5,3536189.0,3541149.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNB0],830979.0,Glycosyltransferase (Fragment) ,W8QNB0
154,AT4G10120,AT4G10120,{},SPS4,4,6313914.0,6320094.0,Probable sucrose-phosphate synthase 4 [Source:UniProtKB/Swiss-Prot;Acc:F4JLK2],826603.0,Probable sucrose-phosphate synthase 4 ,F4JLK2
155,AT5G20280,AT5G20280,{},SPS1,5,6844712.0,6850237.0,Sucrose-phosphate synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94BT0],832150.0,Sucrose-phosphate synthase 1 ,Q94BT0
156,AT3G52340,AT3G52340,{},SPP2,3,19406853.0,19409457.0,Sucrose-6F-phosphate phosphohydrolase 2 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LQG1],824399.0,Sucrose-6F-phosphate phosphohydrolase 2 ,A0A1I9LQG1
157,AT2G35840,AT2G35840,{},SPP2,2,15053483.0,15057426.0,Probable sucrose-phosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ66],818157.0,Probable sucrose-phosphatase 2 ,Q9SJ66
158,AT4G02280,AT4G02280,{},SUS3,4,994726.0,998991.0,Sucrose synthase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q6L8],828081.0,Sucrose synthase (Fragment) ,W8Q6L8
159,AT5G49190,AT5G49190,{},SUS2,5,19943181.0,19947588.0,Sucrose synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q00917],834978.0,Sucrose synthase 2 ,Q00917
160,AT5G20830,AT5G20830,{},SUS1,5,7050217.0,7055398.0,Sucrose synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:P49040],832206.0,Sucrose synthase 1 ,P49040
161,AT1G73370,AT1G73370,{},SUS6,1,27584364.0,27588978.0,Sucrose synthase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q3K7],843672.0,Sucrose synthase (Fragment) ,W8Q3K7
162,AT3G43190,AT3G43190,{},SUS4,3,15179010.0,15184105.0,Sucrose synthase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXL5],823393.0,Sucrose synthase 4 ,Q9LXL5
163,AT5G37180,AT5G37180,{},SUS5,5,14718141.0,14723139.0,sucrose synthase 5 [Source:TAIR;Acc:AT5G37180],833692.0,sucrose synthase 5 ,AT5G37180
164,AT1G72000,AT1G72000,{},INVF,1,27103277.0,27105663.0,Probable alkaline/neutral invertase F [Source:UniProtKB/Swiss-Prot;Acc:Q9C560],843531.0,Probable alkaline/neutral invertase F ,Q9C560
165,AT4G09510,AT4G09510,{},CINV2,4,6021160.0,6024042.0,Alkaline/neutral invertase CINV2 [Source:UniProtKB/Swiss-Prot;Acc:Q67XD9],826535.0,Alkaline/neutral invertase CINV2 ,Q67XD9
166,AT1G35580,AT1G35580,{},CINV1,1,13122082.0,13125328.0,Alkaline/neutral invertase CINV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQF2],840454.0,Alkaline/neutral invertase CINV1 ,Q9LQF2
167,AT1G50460,AT1G50460,{},HKL1,1,18693644.0,18697709.0,Hexokinase-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPS1],841468.0,Hexokinase-3 ,Q9LPS1
168,AT3G20040,AT3G20040,{},ATHXK4,3,6994770.0,6998185.0,Phosphotransferase [Source:UniProtKB/TrEMBL;Acc:A0A178VNP2],821543.0,Phosphotransferase ,A0A178VNP2
169,AT4G37840,AT4G37840,{},HKL3,4,17790080.0,17792198.0,Probable hexokinase-like 2 protein [Source:UniProtKB/Swiss-Prot;Acc:Q9T071],829940.0,Probable hexokinase-like 2 protein ,Q9T071
170,AT2G31390,AT2G31390,{},,2.0,13383423.0,13386392.0,Probable fructokinase-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SID0],817697.0,Probable fructokinase-1 ,Q9SID0
171,AT3G54090,AT3G54090,{},FLN1,3,20028052.0,20030055.0,"Fructokinase-like 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M394]",824576.0,"Fructokinase-like 1, chloroplastic ",Q9M394
172,AT1G47840,AT1G47840,{},HXK3,1,17616051.0,17619011.0,Hexokinase-like 1 protein [Source:UniProtKB/Swiss-Prot;Acc:Q9FZG4],841200.0,Hexokinase-like 1 protein ,Q9FZG4
173,AT3G59480,AT3G59480,{},,3.0,21982989.0,21984598.0,Probable fructokinase-4 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1B9],825117.0,Probable fructokinase-4 ,Q9M1B9
174,AT5G51830,AT5G51830,{},,5.0,21069110.0,21071739.0,Probable fructokinase-7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLH8],835258.0,Probable fructokinase-7 ,Q9FLH8
175,AT4G27550,AT4G27550,{},TPS4,4,13755649.0,13759740.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9T079]",828864.0,"Probable alpha,alpha-trehalose-phosphate synthase ",Q9T079
176,AT1G16980,AT1G16980,{},TPS2,1,5807200.0,5811610.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ57]",838269.0,"Probable alpha,alpha-trehalose-phosphate synthase ",Q9FZ57
177,AT1G23870,AT1G23870,{},TPS9,1,8432179.0,8435656.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRA7]",838998.0,"Probable alpha,alpha-trehalose-phosphate synthase ",Q9LRA7
178,AT2G18700,AT2G18700,{},TPS11,2,8108898.0,8112010.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV48]",816385.0,"Probable alpha,alpha-trehalose-phosphate synthase ",Q9ZV48
179,AT1G78580,AT1G78580,{},TPS1,1,29552340.0,29560912.0,TPS1 [Source:UniProtKB/TrEMBL;Acc:A0A384L3B9],844194.0,TPS1 ,A0A384L3B9
180,AT1G60140,AT1G60140,{},TPS10,1,22176934.0,22181740.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10 [Source:UniProtKB/Swiss-Prot;Acc:O80738]",842309.0,"Probable alpha,alpha-trehalose-phosphate synthase ",O80738
181,AT1G17000,AT1G17000,{},ATTPS3,1,5812728.0,5816662.0,trehalose-phosphatase/synthase 3 [Source:TAIR;Acc:AT1G17000],,trehalose-phosphatase/synthase 3 ,AT1G17000
182,AT1G70290,AT1G70290,{},TPS8,1,26470795.0,26474833.0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8 [Source:UniProtKB/Swiss-Prot;Acc:Q0WUI9]",843365.0,"Probable alpha,alpha-trehalose-phosphate synthase ",Q0WUI9
183,AT1G06410,AT1G06410,{},TPS7,1,1954674.0,1958866.0,TPS7 [Source:UniProtKB/TrEMBL;Acc:A0A178WH64],837152.0,TPS7 ,A0A178WH64
184,AT1G68020,AT1G68020,{},TPS6,1,25496928.0,25500584.0,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 6 [Source:UniProtKB/Swiss-Prot;Acc:Q94AH8]",843130.0,"Alpha,alpha-trehalose-phosphate synthase ",Q94AH8
185,AT4G17770,AT4G17770,{},TPS5,4,9876172.0,9880386.0,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 5 [Source:UniProtKB/Swiss-Prot;Acc:O23617]",827498.0,"Alpha,alpha-trehalose-phosphate synthase ",O23617
186,AT5G51460,AT5G51460,{},TPPA,5,20900859.0,20904647.0,Trehalose 6-phosphate phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A178UCG0],835220.0,Trehalose 6-phosphate phosphatase ,A0A178UCG0
187,AT1G78090,AT1G78090,{},TPPB,1,29373803.0,29376639.0,Trehalose-phosphate phosphatase B [Source:UniProtKB/Swiss-Prot;Acc:Q9C9S4],844144.0,Trehalose-phosphate phosphatase B ,Q9C9S4
188,AT4G12430,AT4G12430,{},TPPF,4,7365257.0,7368730.0,Probable trehalose-phosphate phosphatase F [Source:UniProtKB/Swiss-Prot;Acc:Q9SU39],826855.0,Probable trehalose-phosphate phosphatase F ,Q9SU39
189,AT1G22210,AT1G22210,{},TPPC,1,7841432.0,7844056.0,Probable trehalose-phosphate phosphatase C [Source:UniProtKB/Swiss-Prot;Acc:F4I1A6],838826.0,Probable trehalose-phosphate phosphatase C ,F4I1A6
190,AT4G22590,AT4G22590,{},TPPG,4,11893499.0,11896480.0,Trehalose 6-phosphate phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A178UWC3],828355.0,Trehalose 6-phosphate phosphatase ,A0A178UWC3
191,AT5G10100,AT5G10100,{},TPPI,5,3157694.0,3161708.0,Trehalose 6-phosphate phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A178UDH6],830874.0,Trehalose 6-phosphate phosphatase ,A0A178UDH6
192,AT5G65140,AT5G65140,{},TPPJ,5,26019457.0,26022380.0,Probable trehalose-phosphate phosphatase J [Source:UniProtKB/Swiss-Prot;Acc:Q5HZ05],836638.0,Probable trehalose-phosphate phosphatase J ,Q5HZ05
193,AT4G39770,AT4G39770,{},TPPH,4,18448865.0,18451305.0,Probable trehalose-phosphate phosphatase H [Source:UniProtKB/Swiss-Prot;Acc:Q8GWG2],830135.0,Probable trehalose-phosphate phosphatase H ,Q8GWG2
194,AT5G09870,AT5G09870,{},CESA5,5,3072870.0,3078416.0,Cellulose synthase A catalytic subunit 5 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:Q8L778],830847.0,Cellulose synthase A catalytic subunit 5 ,Q8L778
195,AT1G02730,AT1G02730,{},CSLD5,1,594502.0,598657.0,Cellulose synthase-like protein D5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRW9],839467.0,Cellulose synthase-like protein D5 ,Q9SRW9
196,AT3G07330,AT3G07330,{},CSLC6,3,2335612.0,2339168.0,Probable xyloglucan glycosyltransferase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRT3],819921.0,Probable xyloglucan glycosyltransferase 6 ,Q9SRT3
197,AT5G44030,AT5G44030,{},CESA4,5,17714390.0,17719723.0,cellulose synthase A4 [Source:TAIR;Acc:AT5G44030],834426.0,cellulose synthase A4 ,AT5G44030
198,AT4G15320,AT4G15320,{},ATCSLB06,4,8742639.0,8748025.0,cellulose synthase-like B6 [Source:TAIR;Acc:AT4G15320],827198.0,cellulose synthase-like B6 ,AT4G15320
199,AT4G24010,AT4G24010,{},CSLG1,4,12466117.0,12469844.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNF0],828501.0,Glycosyltransferase (Fragment) ,W8QNF0
200,AT4G07960,AT4G07960,{},CSLC12,4,4802253.0,4805647.0,CSLC12 [Source:UniProtKB/TrEMBL;Acc:A0A384KRZ4],826301.0,CSLC12 ,A0A384KRZ4
201,AT4G32410,AT4G32410,{},CESA1,4,15640490.0,15646844.0,Cellulose synthase A catalytic subunit 1 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:O48946],829376.0,Cellulose synthase A catalytic subunit 1 ,O48946
202,AT2G21770,AT2G21770,{},CESA9,2,9284391.0,9289744.0,Probable cellulose synthase A catalytic subunit 9 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ22],816713.0,Probable cellulose synthase A catalytic subunit 9 ,Q9SJ22
203,AT4G39350,AT4G39350,{},CESA2,4,18296388.0,18302192.0,CESA2 [Source:UniProtKB/TrEMBL;Acc:A0A384LAI4],830090.0,CESA2 ,A0A384LAI4
204,AT4G23990,AT4G23990,{},CSLG3,4,12456342.0,12460753.0,Cellulose synthase-like protein G3 [Source:UniProtKB/Swiss-Prot;Acc:Q0WVN5],828499.0,Cellulose synthase-like protein G3 ,Q0WVN5
205,AT5G05170,AT5G05170,{},CESA3,5,1530132.0,1535558.0,Cellulose synthase A catalytic subunit 3 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:Q941L0],830399.0,Cellulose synthase A catalytic subunit 3 ,Q941L0
206,AT2G32620,AT2G32620,{},CSLB2,2,13840687.0,13844425.0,Cellulose synthase-like protein B2 [Source:UniProtKB/Swiss-Prot;Acc:O80899],817822.0,Cellulose synthase-like protein B2 ,O80899
207,AT1G55850,AT1G55850,{},CSLE1,1,20876440.0,20879482.0,Cellulose synthase-like protein E1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZK9],842035.0,Cellulose synthase-like protein E1 ,Q8VZK9
208,AT2G32540,AT2G32540,{},CSLB4,2,13814543.0,13818410.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q3D1],817815.0,Glycosyltransferase (Fragment) ,W8Q3D1
209,AT2G25540,AT2G25540,{},CESA10,2,10866822.0,10872243.0,Cellulose synthase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNX9],817092.0,Cellulose synthase (Fragment) ,W8QNX9
210,AT4G31590,AT4G31590,{},CSLC5,4,15309506.0,15312987.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PV45],829286.0,Glycosyltransferase (Fragment) ,W8PV45
211,AT2G24630,AT2G24630,{},CSLC8,2,10471196.0,10474610.0,Probable xyloglucan glycosyltransferase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJA2],816999.0,Probable xyloglucan glycosyltransferase 8 ,Q9SJA2
212,AT4G24000,AT4G24000,{},CSLG2,4,12461907.0,12465675.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q6J0],828500.0,Glycosyltransferase (Fragment) ,W8Q6J0
213,AT5G64740,AT5G64740,{},CESA6,5,25881033.0,25886728.0,Cellulose synthase A catalytic subunit 6 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:Q94JQ6],836595.0,Cellulose synthase A catalytic subunit 6 ,Q94JQ6
214,AT3G28180,AT3G28180,{},CSLC4,3,10505711.0,10509265.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q6R3],822444.0,Glycosyltransferase (Fragment) ,W8Q6R3
215,AT4G15290,AT4G15290,{},CSLB5,4,8721482.0,8726733.0,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q2Z8],827195.0,Glycosyltransferase (Fragment) ,W8Q2Z8
216,AT4G18780,AT4G18780,{},CESA8,4,10312624.0,10316886.0,Cellulose synthase (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A068FHR7],827612.0,Cellulose synthase (Fragment) ,A0A068FHR7
217,AT2G32530,AT2G32530,{},CSLB3,2,13809019.0,13813572.0,Cellulose synthase-like protein B3 [Source:UniProtKB/Swiss-Prot;Acc:Q8RX83],817814.0,Cellulose synthase-like protein B3 ,Q8RX83
218,AT5G17420,AT5G17420,{},CESA7,5,5736630.0,5741500.0,MUR10 [Source:UniProtKB/TrEMBL;Acc:A0A384LP57],831608.0,MUR10 ,A0A384LP57
219,AT2G32610,AT2G32610,{},CSLB1,2,13836117.0,13839640.0,Cellulose synthase-like protein B1 [Source:UniProtKB/Swiss-Prot;Acc:O80898],817821.0,Cellulose synthase-like protein B1 ,O80898
220,AT5G43330,AT5G43330,{},MDH2,5,17390381.0,17392741.0,"Malate dehydrogenase 2, cytoplasmic [Source:UniProtKB/Swiss-Prot;Acc:P57106]",834351.0,"Malate dehydrogenase 2, cytoplasmic ",P57106
221,AT5G56720,AT5G56720,{},,5.0,22945419.0,22946807.0,Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178UAN5],835773.0,Malate dehydrogenase ,A0A178UAN5
222,AT1G53240,AT1G53240,{},mMDH1,1,19854615.0,19857146.0,"Malate dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9ZP06]",841757.0,"Malate dehydrogenase 1, mitochondrial ",Q9ZP06
223,AT3G15020,AT3G15020,{},mMDH2,3,5055741.0,5058249.0,"Malate dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LKA3]",820731.0,"Malate dehydrogenase 2, mitochondrial ",Q9LKA3
224,AT5G09660,AT5G09660,{},PMDH2,5,2993411.0,2995784.0,Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:B3H560],830825.0,Malate dehydrogenase ,B3H560
225,AT1G04410,AT1G04410,{},MDH1,1,1188995.0,1191458.0,Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178W4H0],839527.0,Malate dehydrogenase ,A0A178W4H0
226,AT5G65690,AT5G65690,{},PCK2,5,26266180.0,26269763.0,phosphoenolpyruvate carboxykinase 2 [Source:TAIR;Acc:AT5G65690],836696.0,phosphoenolpyruvate carboxykinase 2 ,AT5G65690
227,AT4G37870,AT4G37870,{},PCKA,4,17802690.0,17806705.0,Phosphoenolpyruvate carboxykinase (ATP)-like protein [Source:UniProtKB/TrEMBL;Acc:Q0WWL8],829943.0,Phosphoenolpyruvate carboxykinase (ATP)-like protein ,Q0WWL8
228,AT1G53310,AT1G53310,{},PPC1,1,19883935.0,19888413.0,Phosphoenolpyruvate carboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH0],841765.0,Phosphoenolpyruvate carboxylase 1 ,Q9MAH0
229,AT2G42600,AT2G42600,{},PPC2,2,17734302.0,17739167.0,PPC2 [Source:UniProtKB/TrEMBL;Acc:A0A178VV64],818860.0,PPC2 ,A0A178VV64
230,AT1G68750,AT1G68750,{},PPC4,1,25822716.0,25828147.0,PPC4 [Source:UniProtKB/TrEMBL;Acc:A0A178W7Q9],843206.0,PPC4 ,A0A178W7Q9
231,AT3G14940,AT3G14940,{},PPC3,3,5025184.0,5029886.0,Phosphoenolpyruvate carboxylase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q84VW9],820723.0,Phosphoenolpyruvate carboxylase 3 ,Q84VW9
